id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
1,120.2681785,31.49388079,3.900437783,medium,0.45635,0.71765,0.69645,0.33486,0.14329,0.70718,0.111571312,0.230650902,0.178789139,0.274168014,1.00E-05,0.034696579,0.001279831,0.017010689,0.029183388,0.051588058,0.35254517
2,120.2682087,31.49356212,3.566009697,medium,0.58207,0.47843,0.75616,0.2671,0.31964,0.44546,0.060633659,0.123750687,0.189725875,0.110752106,1.09E-05,0.030101776,0.000918388,0.016274929,0.015855789,0.030629158,0.26555932
3,120.2682389,31.49324346,3.388586597,medium,0.49823,0.51373,0.781,0.43462,0.24917,0.53992,0.060633659,0.132496834,0.108084679,0.153894425,1.00E-05,0.024500847,0.000736237,0.016274929,0.015855789,0.03571701,0.23895392
4,120.2682412,31.49297588,3.430868656,medium,0.51578,0.48627,0.76667,0.34956,0.22384,0.56497,0.060633659,0.097490311,0.167014122,0.119278908,1.00E-05,0.033784867,0.001279831,0.025698662,0.015855789,0.012860298,0.27660015
5,120.2682436,31.4927083,3.820371965,medium,0.90732,0.6549,0.74162,0.27553,0.18055,0.67402,0.060633659,0.276660919,0.084197045,0.242318153,1.00E-05,0.035066605,0.000376701,0.027688026,0.030858994,0.03317976,0.38060527
6,120.2682459,31.49244072,3.492528416,medium,0.66244,0.67843,0.72746,0.29112,0.17943,0.70226,0.060633659,0.259678841,0.025627136,0.328271866,1.00E-05,0.014842033,0.001279831,3.82E-06,0.011049271,0.019979477,0.30640383
7,120.2684731,31.49316622,3.745610221,medium,0.61811,0.68235,0.70932,0.31117,0.16668,0.75415,0.040952682,0.137473106,0.324997902,0.192497254,1.00E-05,0.045312881,0.001279831,0.016274929,0.002607346,0.049032211,0.2764838
8,120.2687024,31.49314602,3.512513736,medium,0.56984,0.67451,0.7103,0.29967,0.17658,0.73298,0.097874641,0.26125145,0.201306343,0.225576401,1.00E-05,0.02140522,0.002504349,0.016274929,0.024832726,0.021656036,0.32034597
9,120.2692475,31.49366631,3.487695248,medium,0.67055,0.6902,0.70404,0.30117,0.16967,0.76341,0.083322525,0.29072094,0.185544968,0.144120216,1.09E-05,0.004265785,0.00139904,0.016274929,0.010560036,0.037163734,0.25515442
10,120.2696031,31.49373202,3.71174476,medium,0.88592,0.68627,0.71887,0.30614,0.17053,0.73189,0.090346336,0.325734138,0.105210304,0.230974197,1.00E-05,0.015778542,1.00E-05,0.000294685,0.014979362,0.043348312,0.30945256
