id,lon,lat,depth_max,depth_min,depth_mean,depth_std,canny_edge,h_mean,h_std,s_mean,s_std,v_mean,v_std,pixel_threshold,pixel_entropy,other,wall,building,sky,floor,tree,road,grass,sidewalk,person,ground,mountain,plant,fence,stone,signboard,sand,runway,bridge,bench, tower,streetlight,pole,land,fountain, tent,animal,bicycle,traffic light,trash can,car,water/river,being_away,coherence,scope,fascination,label
1,120.2681785,31.49388079,6.399497,0.7902081,3.5254517,1.2452115,45.635,0.33486,0.28203,0.14329,0.22406,0.70718,0.26115,0.71765,6.9645,0.051588058,0.001286507,0.111571312,0.230650902,1.00E-05,0.178789139,0.274168014,0.024252892,0.013175011,0.00094986,0.017010689,1.00E-05,0.029183388,0.017216682,1.00E-05,0.000102997,1.91E-06,1.00E-05,0.000476837,0.000148773,0.000200272,4.77E-06,0.000311852,1.00E-05,1.00E-05,1.00E-05,0.000247002,0.012121201,1.00E-05,0.001644135,0.034696579,1.00E-05,3.491778932,4.151338086,4.108647233,3.849986881,-1
2,120.2682087,31.49356212,5.4767094,0.6683687,2.6555932,1.3936946,58.207,0.2671,0.17824,0.31964,0.30333,0.44546,0.32767,0.47843,7.5616,0.030629158,0.005767822,0.267902374,0.123750687,1.00E-05,0.189725875,0.110752106,0.024167061,0.02027607,1.00E-05,0.074018478,1.00E-05,0.045559883,0.000918388,0.000613213,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000386238,0.001028061,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.073664665,1.00E-05,1.00E-05,0.030101776,0.000571251,3.379617929,3.702281041,3.00361889,4.178520926,-1
3,120.2682389,31.49324346,5.580865,0.6777123,2.3895392,1.1667598,49.823,0.43462,0.22064,0.24917,0.17598,0.53992,0.30631,0.51373,7.81,0.03571701,0.002012253,0.287384034,0.132496834,0.001626968,0.108084679,0.153894425,0.013090134,0.045815468,5.72E-06,0.102505684,1.00E-05,0.06649971,0.000736237,0.000840187,0.000794411,0.000905991,1.00E-05,1.00E-05,0.003725052,1.00E-05,0.00014782,0.001464844,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.017516136,1.00E-05,3.82E-06,0.024500847,1.00E-05,2.77266223,3.830041317,2.670003975,4.281638867,-1
4,120.2682412,31.49297588,5.4945173,0.7226565,2.7660015,1.0888757,51.578,0.34956,0.23546,0.22384,0.27256,0.56497,0.30435,0.48627,7.6667,0.012860298,0.009153366,0.289525986,0.097490311,0.074576378,0.167014122,0.119278908,0.023736,0.038513184,1.00E-05,0.025698662,1.00E-05,0.040819168,0.036493301,1.00E-05,9.54E-06,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,8.58E-06,0.000284195,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.029690742,2.00E-05,1.00E-05,0.033784867,1.00E-05,2.618514506,3.893921663,3.16844401,4.042594445,-1
5,120.2682436,31.4927083,7.085224,0.81084406,3.8060527,1.2226083,90.732,0.27553,0.21916,0.18055,0.21924,0.67402,0.25786,0.6549,7.4162,0.075029373,5.63E-05,0.191571236,0.276660919,1.00E-05,0.084197045,0.242318153,0.019300461,0.007328033,0.006528854,0.027688026,1.00E-05,0.030858994,0.000376701,1.00E-05,0.00114727,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000126839,0.001190186,0.000543594,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.035066605,1.00E-05,3.614986982,3.826999613,3.927591032,3.911910233,-1
6,120.2682459,31.49244072,7.8116207,1.0221039,3.0640383,1.4723241,66.244,0.29112,0.2387,0.17943,0.22731,0.70226,0.2596,0.67843,7.2746,0.019979477,0.002519608,0.274043083,0.259678841,0.001514435,0.025627136,0.328271866,0.012028694,0.020887375,0.000459671,3.82E-06,1.00E-05,0.011049271,0.028510094,1.00E-05,0.00014782,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000314713,0.000104904,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.014842033,1.00E-05,2.699079644,3.724323502,3.438657161,4.108053356,4
7,120.2684731,31.49316622,5.4456263,0.84729373,2.764838,0.9541639,61.811,0.31117,0.24275,0.16668,0.20617,0.75415,0.242,0.68235,7.0932,0.049032211,0.001419067,0.040952682,0.137473106,1.00E-05,0.324997902,0.192497254,0.08427906,0.013433456,9.54E-06,0.087434769,0.001592636,0.002607346,0.012476921,0.004496574,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000201225,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.045312881,1.00E-05,3.495096583,3.894294552,3.553021821,4.040027926,1
8,120.2687024,31.49314602,7.2690783,0.7636111,3.2034597,1.4436464,56.984,0.29967,0.24333,0.17658,0.22072,0.73298,0.26155,0.67451,7.103,0.021656036,0.008503914,0.097874641,0.26125145,1.00E-05,0.201306343,0.225576401,0.079732895,0.00893116,0.000105858,0.045788765,1.00E-05,0.024832726,0.002504349,1.00E-05,3.34E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000496864,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.02140522,1.00E-05,3.245134754,3.52438943,3.347659455,3.932871306,1
9,120.2692475,31.49366631,5.855346,0.8056846,2.5515442,1.066268,67.055,0.30117,0.24224,0.16967,0.19658,0.76341,0.23852,0.6902,7.0404,0.037163734,0.010795593,0.083322525,0.29072094,0.001759529,0.185544968,0.144120216,0.043878555,0.049741745,0.000144005,0.092520714,0.000243187,0.010560036,0.00139904,0.033024788,1.00E-05,5.91E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,9.16E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.004265785,0.010614395,3.073889003,3.256435797,3.128780581,4.491675611,2
10,120.2696031,31.49373202,6.547876,0.66446376,3.0945256,1.4118801,88.592,0.30614,0.24573,0.17053,0.21695,0.73189,0.24994,0.68627,7.1887,0.043348312,0.001399994,0.090346336,0.325734138,1.00E-05,0.105210304,0.230974197,0.011898041,0.157245636,1.91E-06,0.000294685,1.00E-05,0.014979362,1.00E-05,1.00E-05,0.00166893,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.000152588,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.015778542,1.00E-05,3.162958221,3.681163117,3.638225206,4.364632496,-1
