id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
14,120.2710252,31.49399486,4.081484781,high,0.57371,0.53725,0.7646,0.23372,0.24541,0.61007,0.018835068,0.224154472,0.284154892,0.241188049,1.00E-05,0.034767151,0.000663757,0.016274929,0.010516167,0.040326118,0.3146414
15,120.2711757,31.49396199,4.398395942,high,0.45444,0.52549,0.76354,0.23797,0.20583,0.61542,0.084974289,0.292860985,0.143424988,0.281442643,1.00E-05,0.036446572,1.81E-05,1.00E-05,0.002947807,0.023182869,0.26309888
18,120.2721758,31.49328963,4.002674879,high,0.42597,0.53333,0.72717,0.27064,0.14006,0.70049,0.054472923,0.272694588,0.20082283,0.281960487,1.09E-05,0.035026551,0.001358986,0.005437851,0.003218651,0.038050652,0.3315005
20,120.2723901,31.49283162,4.141888937,high,0.36344,0.52157,0.7294,0.28695,0.15996,0.69175,0.079372406,0.31861496,0.123208046,0.282466888,1.00E-05,0.034783364,0.001279831,0.015831947,0.011043549,0.041445732,0.3258321
27,120.2687843,31.49356992,4.203348205,high,0.3786,0.72549,0.67346,0.5231,0.066178,0.71817,0.025452614,0.190494537,0.304273605,0.300154686,1.00E-05,0.035747529,0.001279831,0.005460739,0.028737068,0.041688919,0.27509294
41,120.2596776,31.49236576,4.204139263,high,0.84992,0.67451,0.72776,0.44345,0.11892,0.65273,0.021561622,0.176253319,0.360244751,0.173740387,1.00E-05,0.035810471,0.001279831,0.016274929,0.015855789,0.012732506,0.2492804
42,120.2597462,31.49253805,4.320287566,high,0.81619,0.67843,0.72939,0.44506,0.12454,0.65579,0.009291648,0.187930107,0.317051888,0.271326065,1.00E-05,0.036862373,0.001279831,0.000173569,0.015855789,0.04850769,0.26582248
43,120.2590634,31.49210535,4.189759398,high,0.8734,0.63529,0.74192,0.3463,0.15254,0.60166,0.011948586,0.08883667,0.208797932,0.183584213,1.09E-05,0.03410244,0.00021553,0.016274929,0.015465736,0.012800217,0.25508752
45,120.2591765,31.49159789,4.107102566,high,0.55605,0.62745,0.75788,0.3982,0.14831,0.56828,0.034098625,0.229095459,0.249209404,0.334365845,1.09E-05,0.033564567,0.000339508,0.020492554,0.00519371,0.010050774,0.31356854
47,120.259384,31.49116677,4.434779614,high,0.505,0.65882,0.73507,0.42217,0.11307,0.6395,0.065364838,0.301657677,0.153697968,0.345467567,1.91E-06,0.03136158,0.00186348,0.001156807,0.007443428,0.047452927,0.30125794
49,120.2599432,31.49293371,4.073077516,high,0.64954,0.54118,0.79191,0.32579,0.19696,0.57438,0.041749,0.079452515,0.208797932,0.119557381,1.09E-05,0.027212143,0.002249718,0.027031898,0.014238358,0.062135696,0.3063242
55,120.2589748,31.49264896,4.013556922,high,0.61278,0.4902,0.77014,0.27544,0.26361,0.54764,0.060633659,0.218975067,0.161288261,0.314406395,1.00E-05,0.059301376,0.002347946,0.000452042,0.020232201,0.021317482,0.26338406
56,120.2609266,31.49268787,4.075860589,high,0.8547,0.54118,0.76613,0.236,0.26727,0.55794,0.081245422,0.274521828,0.173101425,0.350090981,1.00E-05,0.03608036,3.24E-05,0.002231598,0.007084846,0.025802612,0.3118051
57,120.2611725,31.49246334,4.201319356,high,0.85782,0.45882,0.78169,0.26801,0.22748,0.49165,0.01682663,0.130087852,0.382961273,0.198794365,1.00E-05,0.035980225,0.000403404,0.02514267,0.015855789,0.059885025,0.30646498
58,120.2604943,31.49266522,4.026025446,high,0.57555,0.49412,0.76128,0.24868,0.21756,0.56041,0.019804955,0.107315063,0.394992829,0.188911438,1.09E-05,0.03383255,0.000192642,0.016274929,0.015855789,0.027433395,0.27443056
59,120.260379,31.49258269,4.182423233,high,0.87828,0.53725,0.77312,0.21518,0.32559,0.50652,0.046152115,0.064293861,0.208797932,0.170144081,1.00E-05,0.035494804,0.000199318,0.025864601,0.013269424,0.01078701,0.29392292
60,120.2600626,31.49256037,4.102662844,high,0.58712,0.60392,0.76494,0.31776,0.19341,0.50045,0.051898003,0.038894653,0.208797932,0.220081329,1.09E-05,0.036552429,0.001279831,0.016274929,0.016507149,0.018383026,0.2592634
61,120.2615788,31.49242974,4.236302113,high,1.02386,0.49804,0.78947,0.24469,0.32157,0.52013,0.069290161,0.116075516,0.34559536,0.183683395,1.09E-05,0.034854889,0.001279831,0.016274929,0.015855789,0.020505905,0.29976895
62,120.261985,31.49239614,4.170841099,high,0.61381,0.56471,0.73084,0.21365,0.17822,0.68909,0.060633659,0.090550423,0.368588448,0.166243553,1.09E-05,0.032318115,0.001279831,0.030287743,0.026578903,0.061857224,0.2925756
66,120.2628518,31.49240741,4.100225805,high,0.55733,0.49804,0.75517,0.23603,0.19561,0.6095,0.060633659,0.16160202,0.242218018,0.291186333,1.00E-05,0.05356884,8.11E-05,0.008508682,0.011123657,0.005961418,0.29465942
68,120.2637186,31.49241868,4.092619901,high,0.49127,0.62353,0.73609,0.44825,0.1384,0.55492,0.039096832,0.353849411,0.117777824,0.315560341,1.00E-05,0.03375721,0.001519203,0.030285835,0.010420799,0.018478394,0.29103374
74,120.2653017,31.49241893,4.156642613,high,0.58285,0.68627,0.70769,0.32193,0.1273,0.62145,0.01538372,0.344893456,0.176836967,0.18922329,9.54E-07,0.026877404,0.001151085,0.000905991,0.014598846,0.03317976,0.29982007
78,120.2639958,31.49182263,4.006414948,high,0.55731,0.69412,0.70611,0.36158,0.12873,0.64058,0.029620171,0.293434143,0.193275452,0.361056328,1.00E-05,0.043440819,1.00E-05,0.003741264,0.004789352,0.026821136,0.30669904
85,120.2658968,31.49181259,4.158976428,high,0.99979,0.58824,0.7652,0.20331,0.28926,0.53583,0.036346436,0.379491806,0.100055695,0.334881783,1.00E-05,0.041501999,0.001279831,0.002023697,0.000971794,0.033553123,0.34737902
86,120.2663003,31.49243729,4.075055986,high,0.6909,0.53725,0.7614,0.22326,0.27134,0.56114,0.008024215,0.150337219,0.398756981,0.18194294,1.09E-05,0.032952309,0.002524376,0.016274929,0.023338318,0.002365112,0.29515185
93,120.2691782,31.49227511,4.06405526,high,0.85257,0.48235,0.78218,0.23029,0.28889,0.53151,0.058127403,0.262661934,0.220486641,0.286948204,1.00E-05,0.03336525,0.001431465,0.010373116,0.002755165,0.013391495,0.28654723
94,120.269344,31.49232621,4.382649306,high,0.73793,0.48235,0.78254,0.27778,0.25405,0.53331,0.026413918,0.33169651,0.142855644,0.306870461,1.00E-05,0.035346985,0.002197266,0.002128601,0.008393288,0.03317976,0.3098801
95,120.2682446,31.49213113,4.198178782,high,0.68829,0.61961,0.74825,0.26808,0.25313,0.56066,0.003526688,0.223567963,0.28957653,0.201647758,1.09E-05,0.034914017,1.24E-05,0.002416611,0.015855789,0.056690216,0.26190438
97,120.268242,31.49151195,4.137357918,high,1.01129,0.45098,0.76664,0.18129,0.36072,0.39466,0.004699707,0.158917427,0.383909225,0.20358944,1.09E-05,0.030258179,0.001177788,0.016274929,0.015855789,0.003488541,0.29151933
100,120.2689195,31.49260358,4.077114219,high,0.3469,0.57647,0.7124,0.30795,0.11603,0.74378,0.000379562,0.074785233,0.208797932,0.119706154,1.09E-05,0.031571389,0.001279831,0.016274929,0.017249107,0.042895317,0.24731185
