factor,being-away,coherence,scope,fascination,
building_semantic,43.5,35.5,44.5,44.5,168
scene_depth_mean,38.5,41.5,42.5,41.5,164
sky_semantic,37.5,26.5,43.5,40.5,148
tree_semantic,44.5,34.5,26.5,37.5,143
road_semantic,28.5,44.5,37.5,28.5,139
water/river_semantic,39.5,20.5,35.5,43.5,139
car_semantic,40.5,43.5,19.5,35.5,139
fence_semantic,18.5,33.5,38.5,42.5,133
ground_semantic,34.5,42.5,29.5,25.5,132
entropy,35.5,27.5,33.5,34.5,131
scene_depth_min,21.5,32.5,36.5,39.5,130
other_semantic,22.5,28.5,39.5,36.5,127
plant_semantic,24.5,40.5,32.5,29.5,127
hue_mean,30.5,29.5,34.5,31.5,126
saturation_std,32.5,31.5,41.5,20.5,126
pole_semantic,36.5,19.5,30.5,38.5,125
scene_depth_max,33.5,38.5,24.5,27.5,124
grass_semantic,42.5,22.5,20.5,30.5,116
wall_semantic,29.5,25.5,40.5,19.5,115
floor_semantic,31.5,30.5,28.5,24.5,115
sidewalk_semantic,27.5,39.5,21.5,23.5,112
canny_edge,23.5,37.5,14.5,33.5,109
scene_depth_std,41.5,16.5,25.5,17.5,101
saturation_mean,26.5,17.5,31.5,18.5,94
signboard_semantic,15.5,36.5,22.5,16.5,91
threshold,20.5,18.5,17.5,32.5,89
hue_std,17.5,21.5,18.5,26.5,84
lightness_std,25.5,24.5,11.5,13.5,75
lightness_mean,19.5,15.5,16.5,21.5,73
sand_semantic,16.5,11.5,27.5,15.5,71
streetlight_semantic,11.5,14.5,23.5,14.5,64
stone_semantic,12.5,23.5,13.5,12.5,62
bench_semantic,9.5,9.5,15.5,22.5,57
person_semantic,10.5,13.5,12.5,9.5,46
bicycle_semantic,14.5,10.5,8.5,7.5,41
bridge_semantic,8.5,8.5,10.5,11.5,39
mountain_semantic,13.5,7.5,9.5,8.5,39
fountain_semantic,7.5,12.5,7.5,10.5,38
tower_semantic,6.5,6.5,5.5,5.5,24
tent_semantic,0.5,2.5,4.5,6.5,14
traffic light_semantic,5.5,5.5,1.5,2.5,15
land_semantic,2.5,3.5,6.5,0.5,13
animal_semantic,3.5,1.5,3.5,3.5,12
trash can_semantic,4.5,4.5,0.5,1.5,11
runway_semantic,1.5,0.5,2.5,4.5,9
